52.23.224.136 - - [21/May/2023:18:57:48 +0000] "GET / HTTP/1.1" 200 3371 "-" "python-requests/2.28.1" "52.23.224.136" response-time=5.448
78.182.145.42 - - [21/May/2023:18:58:00 +0000] "GET / HTTP/1.1" 200 3371 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.003
78.182.145.42 - - [21/May/2023:18:58:00 +0000] "GET /static/admin/css/fonts.css HTTP/1.1" 200 162 "http://shaqinair.pythonanywhere.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.002
78.182.145.42 - - [21/May/2023:18:58:00 +0000] "GET /favicon.ico HTTP/1.1" 404 984 "http://shaqinair.pythonanywhere.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.012
78.182.145.42 - - [21/May/2023:18:58:00 +0000] "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184 "http://shaqinair.pythonanywhere.com/static/admin/css/fonts.css" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.002
78.182.145.42 - - [21/May/2023:18:58:00 +0000] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876 "http://shaqinair.pythonanywhere.com/static/admin/css/fonts.css" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.003
78.182.145.42 - - [21/May/2023:18:58:01 +0000] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692 "http://shaqinair.pythonanywhere.com/static/admin/css/fonts.css" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.192
78.182.145.42 - - [21/May/2023:18:58:01 +0000] "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184 "http://shaqinair.pythonanywhere.com/static/admin/css/fonts.css" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.001
78.182.145.42 - - [21/May/2023:18:58:01 +0000] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876 "http://shaqinair.pythonanywhere.com/static/admin/css/fonts.css" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.000
78.182.145.42 - - [21/May/2023:18:58:01 +0000] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692 "http://shaqinair.pythonanywhere.com/static/admin/css/fonts.css" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.000
52.23.170.16 - - [21/May/2023:19:00:41 +0000] "GET / HTTP/1.1" 200 3371 "-" "python-requests/2.28.1" "52.23.170.16" response-time=0.019
78.182.145.42 - - [21/May/2023:19:00:43 +0000] "GET / HTTP/1.1" 200 3371 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.005
78.182.145.42 - - [21/May/2023:19:00:43 +0000] "GET /static/admin/css/fonts.css HTTP/1.1" 404 994 "http://shaqinair.pythonanywhere.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.008
78.182.145.42 - - [21/May/2023:19:00:44 +0000] "GET /static/admin/css/fonts.css HTTP/1.1" 404 994 "http://shaqinair.pythonanywhere.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.004
78.182.145.42 - - [21/May/2023:19:00:46 +0000] "GET /static/admin/css/fonts.css HTTP/1.1" 404 994 "http://shaqinair.pythonanywhere.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.006
78.182.145.42 - - [21/May/2023:19:00:48 +0000] "GET / HTTP/1.1" 200 3371 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.005
78.182.145.42 - - [21/May/2023:19:00:49 +0000] "GET /static/admin/css/fonts.css HTTP/1.1" 404 994 "http://shaqinair.pythonanywhere.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.008
52.23.170.16 - - [21/May/2023:19:01:09 +0000] "GET / HTTP/1.1" 200 3371 "-" "python-requests/2.28.1" "52.23.170.16" response-time=0.022
78.182.145.42 - - [21/May/2023:19:01:12 +0000] "GET / HTTP/1.1" 200 3371 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.003
78.182.145.42 - - [21/May/2023:19:01:13 +0000] "GET /static/admin/css/fonts.css HTTP/1.1" 404 994 "http://shaqinair.pythonanywhere.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.007
78.182.145.42 - - [21/May/2023:19:07:55 +0000] "GET / HTTP/1.1" 200 3371 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.006
78.182.145.42 - - [21/May/2023:19:07:55 +0000] "GET /static/admin/css/fonts.css HTTP/1.1" 404 994 "http://shaqinair.pythonanywhere.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.006
78.182.145.42 - - [21/May/2023:19:08:02 +0000] "GET /login HTTP/1.1" 404 980 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.008
52.23.224.136 - - [21/May/2023:19:12:39 +0000] "GET / HTTP/1.1" 200 270 "-" "python-requests/2.28.1" "52.23.224.136" response-time=5.474
34.224.70.49 - - [21/May/2023:19:16:05 +0000] "GET / HTTP/1.1" 200 270 "-" "python-requests/2.28.1" "34.224.70.49" response-time=0.000
78.182.145.42 - - [21/May/2023:19:16:07 +0000] "GET / HTTP/1.1" 200 270 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.000
78.182.145.42 - - [21/May/2023:19:16:35 +0000] "GET /login HTTP/1.1" 404 15 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.000
34.224.70.49 - - [21/May/2023:19:18:48 +0000] "GET / HTTP/1.1" 200 270 "-" "python-requests/2.28.1" "34.224.70.49" response-time=0.001
78.182.145.42 - - [21/May/2023:19:18:49 +0000] "GET / HTTP/1.1" 200 270 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.000
34.224.70.49 - - [21/May/2023:19:24:58 +0000] "GET / HTTP/1.1" 500 1182 "-" "python-requests/2.28.1" "34.224.70.49" response-time=0.234
34.224.70.49 - - [21/May/2023:19:24:58 +0000] "GET / HTTP/1.1" 500 1182 "-" "python-requests/2.28.1" "34.224.70.49" response-time=0.008
34.224.70.49 - - [21/May/2023:19:31:22 +0000] "GET / HTTP/1.1" 500 1182 "-" "python-requests/2.28.1" "34.224.70.49" response-time=0.010
78.182.145.42 - - [21/May/2023:19:31:24 +0000] "GET / HTTP/1.1" 500 1182 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.005
34.224.70.49 - - [21/May/2023:19:34:06 +0000] "GET / HTTP/1.1" 200 1156 "-" "python-requests/2.28.1" "34.224.70.49" response-time=3.428
78.182.145.42 - - [21/May/2023:19:34:09 +0000] "GET / HTTP/1.1" 200 1156 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.003
78.182.145.42 - - [21/May/2023:19:34:13 +0000] "GET /N_Analysis/ HTTP/1.1" 200 1239 "http://shaqinair.pythonanywhere.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.008
78.182.145.42 - - [21/May/2023:19:34:16 +0000] "GET / HTTP/1.1" 200 1156 "http://shaqinair.pythonanywhere.com/N_Analysis/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.003
78.182.145.42 - - [21/May/2023:19:35:33 +0000] "GET / HTTP/1.1" 200 1156 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36" "78.182.145.42" response-time=0.004
78.182.145.42 - - [21/May/2023:19:35:34 +0000] "GET /favicon.ico HTTP/1.1" 404 1146 "https://shaqinair.pythonanywhere.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36" "78.182.145.42" response-time=0.035
78.182.145.42 - - [21/May/2023:19:35:44 +0000] "GET /upload/ HTTP/1.1" 200 1279 "http://shaqinair.pythonanywhere.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.027
78.182.145.42 - - [21/May/2023:19:36:01 +0000] "GET / HTTP/1.1" 200 1156 "http://shaqinair.pythonanywhere.com/upload/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.003
78.182.145.42 - - [21/May/2023:19:36:13 +0000] "GET /N_Analysis/ HTTP/1.1" 200 1239 "http://shaqinair.pythonanywhere.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.002
78.182.145.42 - - [21/May/2023:19:36:19 +0000] "GET /N_Analysis/bisection/ HTTP/1.1" 200 1281 "http://shaqinair.pythonanywhere.com/N_Analysis/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.007
78.182.145.42 - - [21/May/2023:19:36:58 +0000] "POST /N_Analysis/bisection/ HTTP/1.1" 500 118779 "http://shaqinair.pythonanywhere.com/N_Analysis/bisection/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.137
78.182.145.42 - - [21/May/2023:19:37:02 +0000] "GET /N_Analysis/bisection/ HTTP/1.1" 200 1281 "http://shaqinair.pythonanywhere.com/N_Analysis/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.003
78.182.145.42 - - [21/May/2023:19:37:08 +0000] "POST /N_Analysis/bisection/ HTTP/1.1" 500 62176 "http://shaqinair.pythonanywhere.com/N_Analysis/bisection/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.841
78.182.145.42 - - [21/May/2023:19:37:55 +0000] "GET /N_Analysis/bisection/ HTTP/1.1" 200 1279 "http://shaqinair.pythonanywhere.com/N_Analysis/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.005
78.182.145.42 - - [21/May/2023:19:37:57 +0000] "GET /N_Analysis/ HTTP/1.1" 200 1239 "http://shaqinair.pythonanywhere.com/N_Analysis/bisection/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.002
78.182.145.42 - - [21/May/2023:19:37:59 +0000] "GET / HTTP/1.1" 200 1156 "http://shaqinair.pythonanywhere.com/N_Analysis/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.002
78.182.145.42 - - [21/May/2023:19:38:00 +0000] "GET /quadeq/ HTTP/1.1" 200 1379 "http://shaqinair.pythonanywhere.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.011
78.182.145.42 - - [21/May/2023:19:38:09 +0000] "POST /quadeq/ HTTP/1.1" 200 1421 "http://shaqinair.pythonanywhere.com/quadeq/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" "78.182.145.42" response-time=0.005
